id,name,location,room_info,floor,direction,area,price,avg_price,history,title,labels,timestamp
S3048190899823631,大华锦绣华城十六街区(公寓住宅),浦东 北蔡 成山路1728弄,4室2厅2卫,低层(共11层),南北,159.17㎡,1300万,81674元/㎡,2010年建造,近地铁 人车分流 临河景观 一梯两户 飞机户型 得房率82%,"['热门小区', '南北通透', '房东急售']",2024-06-07 16:37:00
S3048191877013508,印象春城,浦东 周浦 年家浜东路129弄1-78号,2室2厅1卫,中层(共18层),南北,89.15㎡,498万,55861元/㎡,2011年建造,业主要置换 满五 中间楼层采光好 精装好房 近医院 商品房,"['南北', '满五年', '多人关注']",2024-06-07 16:41:55
S3048191890628610,明天华城,"浦东 周浦 康沈路2262弄,周星路500弄",2室2厅1卫,低层(共17层),南北,90.2㎡,485万,53770元/㎡,2012年建造,明天华城 双南户型双阳台 带车位 满五   双澧溪 有钥匙！,"['南北', '热门小区', '近地铁', '满五']",2024-06-07 16:41:55
S3048193875778568,上泰花苑,浦东 金杨新村 张杨路2855弄,2室1厅1卫,中层(共6层),南北,70.34㎡,400万,56867元/㎡,1998年建造,商品房 出行方便 医疗配套成熟 近地铁 精装好房 满五  ,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:39
S3048198556410887,地产尚海郦景,浦东 洋泾 桃林路299弄,3室2厅2卫,低层(共32层),南,132.09㎡,1650万,124915元/㎡,2017年建造,次新小区 主卧朝南，近商圈，采光充足，精装修，大开间,"['南', '满五年', '近地铁', '车位充足']",2024-06-07 16:16:51
S3048198790355969,汤臣豪庭,浦东 张江 广兰路50弄,4室2厅3卫,共4层,南,178.16㎡,1480万,83072元/㎡,2004年建造,豪庭中间位置，自住装修，下叠送大花园，业主诚意出售欢迎咨询,"['南', '满二年', '近地铁', '绿化率高']",2024-06-07 16:37:19
S3048200602443786,临沂七村,"浦东 南码头 兰陵路24弄,浦三路277弄,临沂路101弄",2室0厅1卫,高层(共6层),南,48.9㎡,260万,53170元/㎡,1992年建造,临沂七村 出行方便 近医院 高楼层采光充足 精装可拎包入住,"['南', '满五年', '近地铁']",2024-06-07 16:37:11
S3048201683279879,印象春城,浦东 周浦 年家浜东路129弄1-78号,2室2厅1卫,低层(共18层),南北,89.61㎡,515万,57472元/㎡,2011年建造,印象春城 精装好房 带产权车位 南北通透 商业配套齐全,"['热门小区', '南北通透', '配套成熟']",2024-06-07 16:41:55
S3048203672067073,高申北苑,浦东 高行 思学路165弄,3室2厅1卫,高层(共18层),南北,103.32㎡,488万,47232元/㎡,2015年建造,高申北苑 临地铁 商品房 高楼层采光充足 楼龄新 带电梯,"['南北', '满五年', '近地铁', '采光较好']",2024-06-07 16:37:39
S3048203695678465,上南七村,"浦东 世博 昌里路98弄,上南七村1-132号,昌里路100-110号(双)",2室1厅1卫,中层(共6层),南北,51.42㎡,254.8万,49553元/㎡,1996年建造,上南七村 世博明星楼盘 装好了电梯 带车位 满五   有钥匙,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:36:58
S3048212453350409,高申北苑,浦东 高行 思学路165弄,2室1厅1卫,中层(共18层),南北,77.94㎡,380万,48756元/㎡,2015年建造,高申北苑 满五   产权清晰 有电梯 临地铁 南北通透,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:04
S3048214476857345,璞真园,浦东 金桥 利津路555弄1-32号,3室2厅2卫,高层(共8层),南北,121.07㎡,980万,80945元/㎡,2003年建造,电梯房 交通便利 商品住宅 装修好 医疗配套成熟 购物方便,"['南北', '有电梯', '近地铁']",2024-06-07 16:37:39
S3048216195538954,蓝高小区,"浦东 塘桥 蓝村路60弄,蓝村路30弄",1室1厅1卫,高层(共6层),南,42.37㎡,258万,60893元/㎡,1988年建造,朝南 近医院 正规商品房 近地铁 购物方便 高楼层视野无遮挡,"['南', '近地铁']",2024-06-07 16:15:01
S3048218345923592,上南花城,"浦东 世博 耀华路87弄,耀华路85弄1-10号",3室2厅2卫,高层(共6层),南,141.45㎡,1090万,77060元/㎡,2002年建造,上南花城 交通便捷 医疗配套成熟 小区绿化高 南向采光好,"['南', '近地铁', '绿化率高']",2024-06-07 16:37:39
S3048218449747971,保利御樽苑(公寓住宅),"浦东 唐镇 唐兴路373弄,唐镇路138弄,唐兴路191弄",3室2厅2卫,低层(共12层),南,145.39㎡,730万,50210元/㎡,2011年建造,近唐镇地铁口，配套完善近大型生活圈，近外环线入口,"['南', '近地铁']",2024-06-07 16:14:54
S3048219422449668,罗山八村,"浦东 金杨新村 博山东路128弄,德平路215弄1-55号",2室1厅1卫,高层(共6层),南北,74.5㎡,375万,50336元/㎡,1998年建造,罗山干休所旁 双南两房 主卧有转角阳台 满五 房东已买好新房,"['南北', '满五年', '近地铁']",2024-06-07 16:37:54
S3048224171056131,金杨新村二街坊,"浦东 金杨新村 金口路44弄,云山路1043弄,云山路1045弄,金杨路273弄1-24号",3室1厅1卫,中层(共6层),南北,74.55㎡,338万,45339元/㎡,1999年建造,（云山路站高德显示100米）业主是我老朋友，价格可谈带车位！,"['热门小区', '南北通透', '房东急售']",2024-06-07 16:16:50
S3048226470026244,印象春城,浦东 周浦 年家浜东路129弄1-78号,3室2厅1卫,中层(共18层),南北,88.89㎡,510万,57375元/㎡,2010年建造,周浦品质小区 南北小3房   的A1户型 高楼层 好位置,"['南北', '满五年']",2024-06-07 16:14:23
S3048227441352705,金光小区,"浦东 三林 上南路4265弄,上南路4271弄",2室1厅1卫,低层(共6层),南,61.81㎡,390万,63097元/㎡,1997年建造,金光小区 交通便利 商品房 南向采光好 满五 商圈成熟,"['南', '满五年', '近地铁']",2024-06-07 16:36:58
S3048272061668357,爱法新都(一期),浦东 金桥 杨高中路58弄,2室2厅1卫,中层(共11层),南北,89.68㎡,486万,54193元/㎡,2003年建造,房东已买急售 产权干净 精装修 近9号线带地下车库,"['热门小区', '近地铁', '南北通透']",2024-06-07 16:37:11
S3048273373111310,弘扬沁园,浦东 洋泾 苗圃路400弄,3室2厅2卫,高层(共18层),南,118.64㎡,1158万,97607元/㎡,2002年建造,弘扬沁园 带电梯 双卫生间 临地铁 商圈成熟,"['南', '唯一住房', '近地铁']",2024-06-07 16:37:30
S3048277087134730,金海华城悦虹雅苑,浦东 曹路 海鹏路380弄,2室1厅1卫,高层(共16层),南北,75.67㎡,251万,33171元/㎡,2020年建造,对比整个曹路 有电梯 次新房 商品房 临地铁 高楼层采光充足,"['南北', '热门小区']",2024-06-07 16:41:55
S3048278458556431,都林嘉苑南园,浦东 三林 杨南路1168弄,2室2厅1卫,中层(共6层),南北,89.04㎡,532万,59749元/㎡,2003年建造,都林嘉苑南园 刚需两居 满五   精装可拎包入住 看房有钥匙,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:16:54
S3048347548802062,上泰花苑,浦东 金杨新村 张杨路2855弄,3室1厅1卫,中层(共6层),南北,84.15㎡,525万,62389元/㎡,1998年建造,急售！必看房，税费各付，德平路站10M，空关有钥匙,"['南北', '满五年', '近地铁']",2024-06-07 16:37:23
S3048366603116545,圣鑫苑(4058弄),浦东 周浦 川周公路4058弄,3室2厅2卫,低层(共11层),南北,130.88㎡,480万,36675元/㎡,2006年建造,业主近期必卖 有钥匙 看房随时 双傅雷 圣鑫苑南北通 带阳台,"['南北', '房东直卖', '满五年', '多人关注']",2024-06-07 16:37:54
S3048457972737025,龙居苑,浦东 金杨新村 龙居路2弄1-4号,3室2厅2卫,中层(共25层),南,129.84㎡,980万,75478元/㎡,2005年建造,滨江延线|江景三房 05年品质 电梯高层 空关诚售 看房随时,"['南', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:15
S3048474081008641,证大家园(四期),浦东 金桥 五莲路1769弄,2室2厅1卫,高层(共11层),南北,104.38㎡,768万,73578元/㎡,2006年建造,交通便利 带电梯 大两居 中间楼层 商圈成熟 正规商品房,"['南北', '满五年', '近地铁']",2024-06-07 16:37:19
S3048506190176261,浦发罗兰翡丽,浦东 唐镇 玉盘北路281弄,3室1厅1卫,高层(共17层),南北,89.14㎡,700万,78529元/㎡,2016年建造,浦发罗兰翡丽 房龄新 临地铁 南北通透 高楼层视野好 装修好,"['南北', '车位充足']",2024-06-07 16:37:30
S3048532070095881,羽北小区,"浦东 洋泾 张杨路1698弄,巨野路482弄,张杨路1662弄,张杨路1734弄,民生路729号",2室1厅1卫,中层(共6层),南北,67㎡,510万,76120元/㎡,1998年建造,羽北小区，二中芯和进苝！中间楼层，价格可谈，看房方便，近地铁,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:27
S3048589271194632,罗山三村,"浦东 金杨新村 德平路143弄,博山东路111弄,德平路155弄,龙居路150弄,龙居路180弄,栖山路1088弄",2室1厅1卫,低层(共6层),南,60㎡,335万,55834元/㎡,1996年建造,New in 24h! 一楼带大院子 户型方正 满五  随时,"['南', '满五年', '近地铁']",2024-06-07 16:37:54
S3048602028286990,盛大金磐花园,浦东 陆家嘴 东泰路200弄,3室2厅3卫,低层(共47层),南,301.68㎡,3420万,113366元/㎡,2005年建造,陆家嘴高品质南北通大平层看  外滩看黄浦江美景性价比高。,"['南', '近地铁', '绿化率高', '人气热搜']",2024-06-07 16:15:07
S3048610425887754,艾山新村,浦东 金杨新村 德平路764弄1-38号,2室1厅1卫,中层(共6层),南北,75.69㎡,348万,45978元/㎡,1998年建造,艾山新村 出行方便 临地铁 商业配套齐全 装修好 正规商品房,"['南北', '满五年', '近地铁']",2024-06-07 16:37:46
S3048611136642063,中金海棠湾(二期公寓住宅),"浦东 周浦 沈梅东路355弄,周园路1680弄,周园路1800弄,瑞建路88弄",3室2厅2卫,低层(共18层),南北,131.64㎡,718万,54543元/㎡,2017年建造,周浦标杆小区海棠湾二期精装3房，南北通透，人车分流小区,"['南北通透', '房东急售', '随时可看']",2024-06-07 16:37:11
S3048612163607562,大华锦绣华城十六街区(公寓住宅),浦东 北蔡 成山路1728弄,3室2厅1卫,高层(共20层),南北,120.4㎡,1150万,95515元/㎡,2010年建造,  3房，临河景观，俯瞰别墅，满五税低，诚意出售,"['南北', '唯一住房', '近地铁', '绿化率高']",2024-06-07 16:37:23
S3048612209909767,阳光国际公寓,浦东 金桥 佳乐路77弄1-24号,4室2厅2卫,低层(共7层),南北,162.25㎡,1099万,67735元/㎡,2005年建造,送南北大花园 别墅级平层 带车位 花园式小区 随时看房,"['南北', '满五年', '近地铁', '车位充足']",2024-06-07 16:37:30
